Modified covariate;new
0,491035979514025;0,13545176122275893
0,646964194897120;0,12350788541866901
0,584867864250270;0,08285886923747976
0,856272273854609;0,44572356043115080
0,759965000737668;0,38263992771637889
0,666035825668705;0,23115553235194358
0,560027408136602;0,33033004651286535
0,622810255297755;0,41888540957584242
0,704815761834560;0,12428316683249659
0,559776662846365;0,19842586219613303
0,658815312441846;0,29157354045617417
0,350813093249726;0,23562332412697989
0,662251252490886;0,25290304252394580
0,582652767410014;0,29149994584722233
0,614956102630942;0,34588866097612297
0,808505090904603;0,09036656699486111
NA;0,01824782926565039
0,666478131916890;0,17300165940178358
0,500750448985377;0,42034069372821098
0,610975846768233;0,19323376624829833
0,817880591666191;0,47977928992263369
0,484385364506362;0,39324855819573984
0,572746272636365;0,14502477817028650
0,614522029448666;0,10866784588733593
0,663590799537204;0,26095432252675643
0,547134614617776;0,31877128451506248
0,716913889535545;0,18215432530069325
NA;0,21945491989391103
0,787597602626346;0,35673231255288707
0,637328889129073;0,41337659929588882
0,447277387357554;0,24483119032221071
0,602764445139608;0,27133472084514298
0,770403505387923;0,30289353973648736
0,761507294005909;0,20057679449407281
0,435065659606754;-0,00763466887288139
0,381390495922352;0,12491814208031760
NA;0,02833171687199299
NA;0,41269501688868532
0,521649537254175;0,17999577539965386
0,722801800312073;0,31548327957569083
0,640408158179780;0,16728460570837977
0,486671915177575;0,22472749168317677
0,790963877354584;0,34353225715569402
0,416605861192510;0,14359045914176147
0,750422574907372;0,31808632645850254
0,702790602697076;0,22551787132061851
0,800001730592928;0,34575871472995723
0,747428061731660;0,47938764879527734
NA;-0,00181941535391891
0,472868108426004;0,03625201115359493
