Full Regression;new
0,779746902706025;0,817373517443152
0,795562003295482;0,836143563810561
0,777149767058756;0,830832055049621
0,788185031147667;0,803076624951621
0,828533316585786;0,853928525289317
0,839196921450638;0,827309577969269
0,826400836501103;0,863447358493209
0,807151315754428;0,871243344467506
0,799256557342676;0,809760812439402
0,691184467982432;0,711191079781912
0,759429675840104;0,780306884937832
0,824883477722688;0,791960888917689
0,650952078783390;0,645194616186718
0,818855289492176;0,852028608260212
0,717524401901928;0,747020346997933
0,806447468393818;0,798583925458161
0,683710083084127;0,748265170618265
0,875959652426025;0,845144113720597
0,861491800280861;0,859738716464622
0,807173740288411;0,829131242549675
0,743296018822733;0,758286143187329
0,594872931484283;0,595443683417706
0,857860276921792;0,874704181958150
NA;NA
0,739439317916456;0,758552704665718
0,854389479705061;0,865559209089663
0,864120111386812;0,867847361825061
0,827789141709456;0,834893107541945
0,799846399208984;0,820225196747250
0,742065409112423;0,717833538330021
0,694640769777329;0,737924584961225
0,888397942121273;0,894783035859651
0,792504809500725;0,820691541473206
0,681175738355016;0,777969501847059
0,648392235766087;0,649880577258946
0,715106664637290;0,750298583069455
0,492854383565395;0,443365346717141
0,883006058357348;0,852518091570292
0,816260546134999;0,810994302250509
0,463984868003986;0,495061098720385
0,786018248797153;0,751143856566326
0,877359714331077;0,898834953225272
NA;0,598985537430458
0,836167908542756;0,876247092955292
0,745443395793675;0,799471717339384
0,687486478906062;0,689064453933954
0,693809335923255;0,642010587366819
0,745646973265378;0,748128017500074
0,806236013834327;0,835394457824355
0,783009950079852;0,786594103635308
0,838473181070601;0,845806617071053
0,658670291098410;0,705506443539050
0,725283895880860;0,758529973374124
0,750338516886280;0,763479506694867
0,678342124790538;0,721473709924080
0,790340607728602;0,837672871346301
0,805483118222674;0,831935900882160
0,779751131360204;0,769485327163623
NA;0,625486134320295
0,737383520605047;0,768212291164925
0,683584407919961;0,684622673528171
0,711051733088778;0,737468956047568
0,837578201140242;0,838896986160735
0,879038044688141;0,889152736839461
0,656046296420697;0,702850085923289
0,630301139435390;0,630302018572869
0,628657468445091;0,699664954691047
0,727624760138276;0,798591691605623
0,361710921159954;0,475712544068676
0,868474109462359;0,881089647882374
0,824134196284805;0,831891645462193
0,924225543319528;0,937591384175280
0,800180621222732;0,808191079660319
0,822984269810466;0,859205676650499
0,730579343580928;0,797098918379588
0,764613654447244;0,775834413266220
0,815198971212087;0,801147420626393
0,682289692699270;0,713071333743492
0,824421544053871;0,817764890773596
0,892711538945121;0,881263602507347
0,730222835772595;0,720056070145824
0,874307659702682;0,857787303011370
0,908826622799626;0,907933656465279
0,323167940887405;0,389735086981284
NA;0,710959919315492
0,797360523698088;0,799344208161610
0,678522111181794;0,697357345366534
0,624305711646995;0,608700040493639
0,876860744910909;0,890813663680605
0,772893123419047;0,758474799597433
0,761557691911963;0,756131693281755
0,511507643515320;0,453604463025383
0,889242793525956;0,897317271759353
NA;0,607880112211916
0,735603750238039;0,796748550208878
0,856950441609457;0,857271117208117
0,309633264532225;0,460021485293199
0,794990199655779;0,854961347426961
0,700388661612364;0,680347695851382
0,810193710844490;0,792893364569992
0,724143711306466;0,732392910073355
0,643815628014021;0,762222851640426
NA;0,900062523420197
0,835984776410598;0,844488281127054
0,726988165869719;0,778886075781674
0,784763672124296;0,783736882828942
0,801095355299528;0,803960962254208
0,783085576726736;0,781835450664004
0,777290529255397;0,768086485079461
0,800509051350669;0,788922440422686
0,699489836309037;0,773851141187177
0,668479775241961;0,678525611445694
0,745443906839022;0,794707670371874
0,795996352938778;0,799671790112698
0,705237103248932;0,725169762059814
0,559594941936436;0,622810564972643
0,681613859546621;0,680343471499264
0,862134572928357;0,878812902887555
0,799517559557723;0,769634061953169
0,686085698654583;0,804262218710573
0,835921308484522;0,811247543365943
0,566189418911832;0,699250684220797
0,857438776560281;0,874671757163116
0,789091454934583;0,844832948118614
0,745967060367669;0,734845755423168
0,875763528481638;0,887095860960788
0,823372533307548;0,824339227587672
0,792797007529838;0,776262988968378
0,779744320329648;0,787849332460254
0,853230524734511;0,858298139295767
0,678439196373499;0,724755649259597
0,519293382718287;0,571208053432021
0,783580125749794;0,821861352954095
0,815315436801560;0,825693775706361
0,648291510289217;0,697716276948265
0,857811650295067;0,855106579045936
0,821487261882194;0,825084035544072
0,752393873462956;0,769667485716733
NA;0,751248176112551
0,783487509193881;0,822510214101934
0,873724581306915;0,833076696029118
0,737709718887496;0,743697083049570
0,842883080479202;0,826955152568433
0,459205128002057;0,453598068178995
0,709277475245696;0,741392723166292
0,801832913863741;0,738263344706476
0,728457795536442;0,781706702466715
0,790753493405572;0,806731518989420
0,730425478423671;0,757914530781804
0,845115777766842;0,839177627956885
NA;0,780784519711748
0,818661124970427;0,837815668246081
0,805446853753154;0,821758250733177
0,662240861424676;0,701348062731577
0,546602577455170;0,275536682614821
0,891709815838011;0,859831294538203
0,790885167236771;0,806858998090684
0,833858984151095;0,838229197501748
0,610854476451304;0,690851528989610
NA;0,757099437370268
0,916563090746573;0,903835968967438
0,766931651330407;0,736847480804791
0,742000194937258;0,778527062716747
0,797405399517302;0,816410593564725
0,850891840892691;0,845281471212444
0,686343636640454;0,754296898156561
0,787282046569991;0,743673702268053
0,790329601997504;0,813250633728144
0,758895177057027;0,731662895749358
0,698412740763952;0,707224037127072
0,610159548615582;0,662014303136602
0,837939256712125;0,845782389364289
0,740685130446748;0,763118864697274
0,779527870973467;0,800010936002312
0,770765769222487;0,756475239246950
0,688830410890681;0,669552493867069
0,873138118466152;0,880165274250029
0,549245286455821;0,820869924202518
0,661563926436702;0,657396554311871
0,827599608296580;0,848132273640985
0,640020836319809;0,658084491081203
